2021-07-05 16:00:46.674 INFO  [68920] Logger 0 Initialized
2021-07-07 03:07:07.834 INFO  [7092] Logger 0 Initialized
2021-07-07 03:07:57.930 INFO  [21304] Logger 0 Initialized
2021-07-07 03:08:09.931 INFO  [12564] Logger 0 Initialized
2021-07-07 03:09:05.404 INFO  [19520] Logger 0 Initialized
2021-07-07 03:09:21.807 INFO  [20156] Logger 0 Initialized
2021-07-07 03:10:02.409 INFO  [4876] Logger 0 Initialized
2021-07-07 03:11:41.165 INFO  [10540] Logger 0 Initialized
2021-07-07 03:12:51.407 INFO  [16192] Logger 0 Initialized
2021-07-07 03:14:28.866 INFO  [10328] Logger 0 Initialized
2021-07-07 03:14:45.297 INFO  [5172] Logger 0 Initialized
2021-07-07 03:15:28.373 INFO  [1156] Logger 0 Initialized
2021-07-07 03:24:59.880 INFO  [20168] Logger 0 Initialized
2021-07-07 03:27:15.271 INFO  [17952] Logger 0 Initialized
2021-07-07 03:28:02.419 INFO  [17504] Logger 0 Initialized
2021-07-07 03:28:42.959 INFO  [19176] Logger 0 Initialized
2021-07-07 03:29:07.180 INFO  [14800] Logger 0 Initialized
2021-07-07 03:30:41.245 INFO  [20452] Logger 0 Initialized
2021-07-07 03:31:06.129 INFO  [14120] Logger 0 Initialized
2021-07-07 03:31:38.213 INFO  [4908] Logger 0 Initialized
2021-07-07 03:32:40.477 INFO  [1512] Logger 0 Initialized
2021-07-07 03:33:01.764 INFO  [21688] Logger 0 Initialized
2021-07-07 03:33:31.986 INFO  [12728] Logger 0 Initialized
2021-07-07 03:34:13.079 INFO  [19972] Logger 0 Initialized
2021-07-07 03:38:13.152 INFO  [20656] Logger 0 Initialized
2021-07-07 03:39:35.892 INFO  [19272] Logger 0 Initialized
2021-07-07 03:40:00.505 INFO  [3500] Logger 0 Initialized
2021-07-07 03:40:48.567 INFO  [18192] Logger 0 Initialized
2021-07-07 03:41:24.932 INFO  [17840] Logger 0 Initialized
2021-07-07 03:41:55.196 INFO  [4932] Logger 0 Initialized
2021-07-07 03:42:26.152 INFO  [22268] Logger 0 Initialized
2021-07-07 03:43:13.796 INFO  [6916] Logger 0 Initialized
2021-07-07 03:43:33.863 INFO  [16944] Logger 0 Initialized
2021-07-07 03:45:16.721 INFO  [15668] Logger 0 Initialized
2021-07-07 03:47:46.847 INFO  [21468] Logger 0 Initialized
2021-07-07 19:53:31.496 INFO  [9376] Logger 0 Initialized
2021-08-22 21:59:41.520 INFO  [3124] Logger 0 Initialized
2021-08-22 22:20:34.432 INFO  [4780] Logger 0 Initialized
2021-08-22 22:21:02.611 INFO  [13036] Logger 0 Initialized
2021-08-22 22:21:31.152 INFO  [21084] Logger 0 Initialized
2021-08-22 22:22:05.825 INFO  [26524] Logger 0 Initialized
2021-08-22 22:22:42.661 INFO  [18900] Logger 0 Initialized
2021-08-22 22:23:04.892 INFO  [27964] Logger 0 Initialized
2021-08-22 22:24:24.313 INFO  [23840] Logger 0 Initialized
2021-08-22 22:24:38.808 INFO  [26384] Logger 0 Initialized
2021-08-22 22:24:57.690 INFO  [17512] Logger 0 Initialized
2021-08-22 22:28:29.888 INFO  [11488] Logger 0 Initialized
2021-08-22 23:50:51.500 INFO  [23444] Logger 0 Initialized
2021-08-22 23:51:57.750 INFO  [11068] Logger 0 Initialized
2021-08-22 23:52:33.731 INFO  [27172] Logger 0 Initialized
2021-08-22 23:54:44.963 INFO  [26748] Logger 0 Initialized
2021-08-22 23:55:04.418 INFO  [23272] Logger 0 Initialized
