2021-06-24 14:06:21.479 INFO  [19516] Logger 0 Initialized
2021-07-01 15:46:33.625 INFO  [5396] Logger 0 Initialized
2021-07-01 15:47:32.769 INFO  [16296] Logger 0 Initialized
2021-07-01 15:49:48.269 INFO  [5056] Logger 0 Initialized
2021-07-01 16:22:25.304 INFO  [18132] Logger 0 Initialized
2021-07-01 16:23:15.346 INFO  [8416] Logger 0 Initialized
2021-07-01 16:26:20.495 INFO  [15628] Logger 0 Initialized
2021-07-01 16:32:00.413 INFO  [6164] Logger 0 Initialized
2021-07-01 16:49:35.140 INFO  [512] Logger 0 Initialized
2021-07-01 16:50:04.241 INFO  [17088] Logger 0 Initialized
2021-07-01 17:25:24.397 INFO  [1504] Logger 0 Initialized
2021-07-01 18:33:06.351 INFO  [13544] Logger 0 Initialized
2021-07-01 18:54:19.914 INFO  [9764] Logger 0 Initialized
2021-07-01 18:57:05.782 INFO  [16688] Logger 0 Initialized
2021-07-01 23:44:07.947 INFO  [1596] Logger 0 Initialized
2021-07-02 00:05:03.415 INFO  [17844] Logger 0 Initialized
2021-07-02 15:29:49.418 INFO  [6956] Logger 0 Initialized
2021-07-02 16:10:00.268 INFO  [21932] Logger 0 Initialized
2021-07-02 18:10:27.913 INFO  [2284] Logger 0 Initialized
2021-07-02 18:45:31.967 INFO  [14568] Logger 0 Initialized
2021-07-02 21:33:38.780 INFO  [20668] Logger 0 Initialized
2021-07-02 21:33:54.566 INFO  [11404] Logger 0 Initialized
2021-07-02 21:53:44.821 INFO  [19028] Logger 0 Initialized
2021-07-02 21:54:03.743 INFO  [19420] Logger 0 Initialized
2021-07-02 23:40:13.993 INFO  [10656] Logger 0 Initialized
2021-07-02 23:40:22.203 INFO  [14136] Logger 0 Initialized
2021-07-03 16:19:32.626 INFO  [16896] Logger 0 Initialized
2021-07-03 18:53:16.836 INFO  [24244] Logger 0 Initialized
2021-07-03 18:56:11.357 INFO  [8068] Logger 0 Initialized
2021-07-04 13:24:55.516 INFO  [52072] Logger 0 Initialized
2021-07-04 13:27:31.012 INFO  [13040] Logger 0 Initialized
2021-07-04 13:41:16.847 INFO  [49336] Logger 0 Initialized
2021-07-04 13:42:03.804 INFO  [44608] Logger 0 Initialized
2021-07-04 15:41:38.632 INFO  [49640] Logger 0 Initialized
2021-07-04 15:43:47.157 INFO  [49320] Logger 0 Initialized
2021-07-04 15:48:32.458 INFO  [44824] Logger 0 Initialized
2021-07-04 15:51:16.136 INFO  [7056] Logger 0 Initialized
