cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;2;0;0;0;0;0;0
c1-n11;1;2;0;40;40;0;0;0
c1-n12;1;2;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;0;0;0;0;0;0;0
c1-n11;1;0;0;0;0;0;0;0
c1-n12;1;0;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;1;0;0;0;0;0;0
c1-n11;1;1;0;0;0;0;0;0
c1-n12;1;1;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;1;0;0;0;0;0;0
c1-n11;1;1;0;0;0;0;0;0
c1-n12;1;1;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;2;0;0;0;0;0;0
c1-n11;1;2;0;0;0;0;0;0
c1-n12;1;1;0;0;0;0;0;0


cod; company; actionRequests; actionSuccess; missionRequests; missionsSuccess; busy; cancel; timeouts
c1-n10;1;3;0;0;0;0;0;0
c1-n11;1;3;0;0;0;0;0;0
